HPO,UMLS
0000466,C1859212
0000467,C0240479
0000468,C4025850
0000470,C0521525
0000471,C0854242
0000472,C1839816
0000473,C0040485
0000474,C1836940
0000475,C1853638
0000476,C0206620
0000478,C0015393
0000479,C0035300
0000480,C0240896
0000481,C1855670
0000482,C0266544
0000483,C0004106
0000484,C1847524
0000485,C0344530
0000486,C0038379
0000487,NA
0000488,C0035309
0000489,NA
0000490,C0014306
0000491,C0022568
0000492,C4021803
0000493,C4025849
0000494,C0423110
0000495,C0010043
0000496,C0497202
0000497,C4025848
0000498,C0005741
0000499,C2675111
0000501,C0017601
0000502,C4025847
0000503,C1855391
0000504,C4025846
0000505,C0042798
0000506,C0423113
0000508,C0005745
0000509,C0009763
0000510,C0035334
0000511,C0339652
0000512,C0476397
0000514,C1321329
0000517,C0023308
0000518,C0086543
0000519,C0009691
0000520,C0015300
0000522,C0344505
0000523,C0235259
0000524,C0239105
0000525,C4025845
0000526,C0003076
0000527,C1853738
0000528,C0003119
0000529,C1839364
0000531,C1096610
0000532,C4025844
0000533,C4048273
0000534,C4011556
0000535,C1832446
0000537,C1303003
0000538,C0155300
0000539,C4025843
0000540,C0020490
0000541,C0035305
0000542,C1846463
0000543,C0554970
0000544,C0162292
0000545,C0027092
0000546,C0035304
0000547,NA
0000548,C0035334
0000549,C1845274
0000550,C1855685
0000551,C0009398
0000552,C0155017
0000553,C4025842
0000554,C0042164
0000555,C0152458
0000556,C0854723
0000557,C0020302
0000558,C0265341
0000559,C0349702
0000561,C1843005
0000563,C0022578
0000564,C0344511
0000565,C0014877
0000567,C0240896
0000568,C0026010
0000570,C1842584
0000571,C0423082
0000572,C3665386
0000573,C0035317
0000574,C1853487
0000575,C0036454
0000576,C0271196
0000577,C0015310
0000579,C0022906
0000580,C0035334
0000581,C0005744
0000582,C0423109
0000584,C1832170
0000585,C0155120
0000586,C1865244
0000587,C0029131
0000588,C0155299
0000589,C0009363
0000590,C0162674
0000591,C4025840
0000592,C0542514
0000593,C3152182
0000594,C0423276
0000597,C0751401
0000598,C0266589
0000599,C4025839
0000600,C4025838
0000601,C0424711
0000602,C0029089
0000603,C0152191
0000605,C1720037
0000606,C4025837
0000607,C1844605
0000608,C0024437
0000609,C0338502
0000610,C0008521
0000611,NA
0000612,C0240063
0000613,C0085636
0000614,C4025835
0000615,C0154936
0000616,C0026205
0000617,C1836393
0000618,C0271215
0000619,C0271379
0000620,C0010930
0000621,C0014390
0000622,C0344232
0000623,C1408507
0000625,C0521573
0000627,C0344531
0000629,C1858036
0000630,C4021802
0000631,C0423401
0000632,C4021801
0000633,C0235857
0000634,C1846462
0000635,C0578626
0000636,C1863872
0000637,C1849340
0000639,C0028738
0000640,C0271390
0000641,C1836392
0000642,C0155016
0000643,C0005747
0000646,C0002418
0000647,C1853235
0000648,C0029124
0000649,C0522214
0000650,C4025834
0000651,C0012569
0000652,C1837826
0000653,C1843300
0000654,C1839025
0000655,NA
0000656,C0013592
0000657,C3489733
0000658,C1142448
0000659,C0344559
0000660,C0339477
0000661,C1846465
0000662,C0028077
0000664,C0431447
0000666,C0271385
0000667,C0271007
0000668,C0020608
0000670,C0011334
0000674,C0399352
0000675,C1835095
0000676,C4025833
0000677,C4082304
0000678,C0040433
0000679,C0266039
0000680,C1849538
0000682,C4021800
0000683,C1854783
0000684,C0239174
0000685,C0235357
0000687,C1844813
0000689,C0024636
0000690,C1849950
0000691,C0240340
0000692,C1852504
0000694,C2981132
0000695,C0027443
0000696,C1849540
0000698,C0266037
0000699,C0011998
0000700,C0031029
0000703,C0011436
0000704,C0017563
0000705,C0002452
0000706,C1290587
0000707,C0497552
0000708,C0004941
0000709,C0033975
0000710,C1838320
0000711,C3887611
0000712,C0085633
0000713,C0085631
0000716,C0011581
0000717,C0004352
0000718,C0001807
0000719,C0233522
0000720,C0085633
0000721,C1837650
0000722,C0028768
0000723,C2675334
0000725,C0338614
0000726,C0497327
0000727,C0338455
0000728,C1837649
0000729,C0856975
0000732,C1837653
0000733,C0038271
0000734,C0424296
0000735,C0150080
0000736,C0262630
0000737,C2700617
0000738,C0018524
0000739,C0003467
0000740,C1854339
0000741,C0085632
0000742,C0036601
0000743,C1833297
0000744,C0548883
0000745,C0456814
0000746,C0011253
0000748,C0424304
0000749,C1839749
0000750,C0023012
0000751,C0240735
0000752,C0424295
0000753,C4025832
0000756,C0001818
0000757,C0233824
0000758,C4021798
0000759,C0031117
0000762,C1857640
0000763,C0151313
0000764,C4025830
0000765,C4021797
0000766,C1860493
0000767,C2051831
0000768,C0158731
0000769,C4025829
0000771,C0018418
0000772,C1842083
0000773,C0426817
0000774,C0426790
0000775,C1848873
0000776,C0235833
0000777,C0262650
0000778,C0685891
0000782,C4025828
0000786,C0232939
0000787,C0392525
0000789,C0021359
0000790,C0018965
0000791,C0403719
0000793,C0017662
0000794,C0017661
0000795,C4025826
0000796,C0041972
0000798,C0028960
0000799,C4021796
0000800,C1834931
0000802,C0242350
0000803,C1969144
0000804,C1848431
0000805,C0014394
0000807,C0452168
0000808,C0452147
0000809,C1389003
0000811,C4025825
0000812,C4025824
0000813,C0266387
0000815,C0948896
0000816,C4021795
0000817,C1445953
0000818,C0014130
0000819,C0011849
0000820,C0040128
0000821,C0020676
0000822,C0020538
0000823,C0034012
0000824,C3714796
0000825,C1864903
0000826,C0034013
0000828,C0030517
0000829,C0020626
0000830,C4025821
0000831,C0854110
0000832,C0700502
0000833,NA
0000834,C0001621
0000835,C0342491
0000836,C0020550
0000837,C1862265
0000839,C0013338
0000840,C0302280
0000841,C1846345
0000842,C0020459
0000843,C0020502
0000845,C0001206
0000846,C0001623
0000847,C4021793
0000848,C0240783
0000849,C4025820
0000851,C0010308
0000852,C0033806
0000853,C0018021
0000854,C0151468
0000855,C0021655
0000857,C3278636
0000858,C0156404
0000859,C0020428
0000860,C1389851
0000863,C0687720
0000864,C4025819
0000866,C1846034
0000867,C0020503
0000868,C0151639
0000869,C0232940
0000870,C0020514
0000871,C0242343
0000872,C0677607
0000873,C0011848
0000875,C1857175
0000876,C0028949
0000877,C1837792
0000878,C1839731
0000879,C0575497
0000882,C1846434
0000883,C0426818
0000884,C1846433
0000885,C1848654
0000886,C1838659
0000887,C0426826
0000888,C3806510
0000889,C4021792
0000890,C0426808
0000891,C0158779
0000892,C0265695
0000893,C1848538
0000894,C0426799
0000895,C0426805
0000896,C1835579
0000897,C0426824
0000900,C0426820
0000902,C1844749
0000904,C1854780
0000905,C1837757
0000907,C1846154
0000910,C1861213
0000911,C1855177
0000912,C0152438
0000913,C1842084
0000914,C1834124
0000915,C1864796
0000916,C0426801
0000917,C1864795
0000918,C1851415
0000919,C4021791
0000920,C1857180
0000921,C0426816
0000922,C1837483
0000923,C0426824
0000924,C4021790
0000925,C4020882
0000926,C1844704
0000927,C4025818
0000929,C0235942
0000930,C4025817
0000931,C4021788
0000932,C3280768
0000933,C4025816
0000934,C0553730
0000935,C1840418
0000938,C0029453
0000939,C0029456
0000940,C4021787
0000941,C4025815
0000943,C0086795
0000944,C4025814
0000946,C1861218
0000947,C2749582
0000951,C0037268
0000952,C0022346
0000953,C0162834
0000954,C0424731
0000956,C0000889
0000957,C0221263
0000958,C0151908
0000960,C0426848
0000961,C0010520
0000962,C0870082
0000963,C0423757
0000964,C0013595
0000965,C0263401
0000966,C0020620
0000967,C0031256
0000968,C0013575
0000969,C0013604
0000970,C0003028
0000971,C0038986
0000972,C0022596
0000973,C0010495
0000974,C0241074
0000975,C0020458
0000976,C0013595
0000977,C0241178
0000978,C0013491
0000979,C0034150
0000980,C0030232
0000982,C0022596
0000987,C4021786
0000988,C0015230
0000989,C0033774
0000991,C0043325
0000992,C0349506
0000993,C1844597
0000995,C0027962
0000996,C1858545
0000997,C1860335
0000998,C0020555
0000999,C0034212
0001000,C1260926
0001001,C4025813
0001002,NA
0001003,C0036651
0001004,C0024236
0001005,C4025812
0001006,NA
0001007,C0019572
0001008,C1843389
0001009,C0039446
0001010,C0162835
0001011,NA
0001012,C0023798
0001013,C0221252
0001014,C0002985
0001015,C1837785
0001017,C4025811
0001018,C4025810
0001019,C0011606
0001022,C0001916
0001024,C1855815
0001025,C0042109
0001026,C4025809
0001027,C1849043
0001028,C0018916
0001029,C0392777
0001030,C0241181
0001031,C1403035
0001032,C1861349
0001033,C4025808
0001034,C1842774
0001036,C0030436
0001038,C1867638
0001039,C4025807
0001040,C1867448
0001041,C0005874
0001042,C4025806
0001043,C1856542
0001045,C0042900
0001046,C4025805
0001047,C0011615
0001048,C0018920
0001049,C1861400
0001050,C0232370
0001051,C0036508
0001052,C0235752
0001053,C1836735
0001054,C1849677
0001055,C0014714
0001056,C0345996
0001057,C0265989
0001058,C1851789
0001059,C0033999
0001060,C1844738
0001061,C0702166
0001062,C0205748
0001063,C0221347
0001065,C0152459
0001067,C0162678
0001069,C1857171
0001070,C0860439
0001071,C0002986
0001072,C0334008
0001073,C1851828
0001074,C4021837
0001075,C0162154
0001076,C1854408
